state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.004536666838615724,1310082.784,1806,76,1704,0.0023679417122040073,Singrauli,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.006250304512819271,1606751.04,1210,44,1139,0.0024590163934426227,Tikamgarh,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.007135463705611253,2209392.768,4428,229,4098,0.009198542805100181,Ujjain,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.0034559881762936512,715659.848,1182,32,1134,0.0014571948998178506,Umaria,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.004325288276797063,1621531.744,3323,117,3147,0.005373406193078324,Vidisha,0.48507751937984495
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005825851411836348,5051908.296,67513,2244,64252,0.09253187613843351,Ahmednagar,0.34108527131782945
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.007328153287040977,2022302.104,10187,452,9388,0.03114754098360656,Akola,0.5155038759689923
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005157811723099958,3211262.512,19299,432,18489,0.03424408014571949,Amravati,0.47674418604651164
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.008001462413657958,4109871.936,47046,966,44923,0.1040983606557377,Aurangabad,0.7403100775193799
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005285177961483113,2875589.744,16662,350,15791,0.04681238615664845,Beed,0.20155038759689922
