state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP,state_population,ccp_district,cce_district,cluster
Bihar,BR_Saharsa,2109577.424,1702.0,1239.4696968272622,6646,88,6547,11,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,10.70818448343293,37.80756603450978,2
Bihar,BR_Samastipur,4731317.584,2905.0,1628.680751807229,5104,68,5002,34,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,24.016099604971018,84.79404450970142,8
Bihar,BR_Saran,4384724.976,2641.0,1660.251789473684,6899,222,6625,52,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,22.25680054117038,78.58245788341557,8
Bihar,BR_Sheikhpura,706038.824,689.0,1024.7297880986937,2965,8,2946,11,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,3.58384285584677,12.65353390571155,2
Bihar,BR_Sheohar,730490.5920000001,443.0,1648.9629616252819,1404,62,1341,1,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,3.707959676453257,13.091755239900664,2
Bihar,BR_Sitamarhi,3802619.664,2199.0,1729.2495061391544,4261,99,4148,14,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,19.302042399199347,68.15004389751442,8
Bihar,BR_Siwan,3689811.712,2219.0,1662.82636863452,4586,100,4458,28,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,18.729430866922044,66.12831478440565,8
Bihar,BR_Supaul,2477977.464,2410.0,1028.2064165975103,5519,28,5474,17,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,12.578177756561583,44.40998255687016,8
Bihar,BR_Vaishali,3886463.352,2036.0,1908.8719803536346,5302,69,5188,44,1,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,19.72763174645973,69.65267932325115,8
Bihar,BR_West Champaran,4375766.704,5229.0,836.8266789061006,5924,97,5805,22,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,22.21132848210422,78.42190892401645,8
Chhattisgarh,CT_Balod,918695.48,3527.0,260.47504394669687,8522,928,7523,71,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,15.228930007437988,39.779271364457905,2
Chhattisgarh,CT_Baloda Bazar,1451541.416,4748.0,305.7163892165122,8455,172,8162,121,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,24.061751808293895,62.85135949924721,2
Chhattisgarh,CT_Balrampur,665926.76,3806.0,174.96761954808198,3159,165,2983,11,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,11.038861340778508,28.834452625035482,2
Chhattisgarh,CT_Bastar,1448105.336,4030.0,359.3313488833748,7487,153,7256,78,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,24.004792975950497,62.70257814380831,2
Chhattisgarh,CT_Bametara,219102.92,2855.0,76.74357968476356,4289,464,3777,48,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,3.6320011426477086,9.48709850126302,2
Chhattisgarh,CT_Bijapur,255573.18399999998,6562.0,38.94745260591283,3958,39,3891,28,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,4.236557396487974,11.066251289071902,2
Chhattisgarh,CT_Bilaspur,2181657.264,5818.0,374.98406050189067,16952,400,16368,184,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,36.16465575042849,94.46518266193796,3
Chhattisgarh,CT_Dakshin Bastar Dantewada,593405.456,3411.0,173.96817824684842,5765,22,5728,15,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,9.836698179309453,25.69429933776738,2
Chhattisgarh,CT_Dhamtari,888709.288,2029.0,438.0035919172005,7302,557,6645,100,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,14.731858203887155,38.480877179744226,2
Chhattisgarh,CT_Durg,3717503.848,8542.0,435.20297916178885,21437,1860,19034,543,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,61.62390817855487,160.96693364378854,3
Chhattisgarh,CT_Gariaband,664590.1359999999,5823.0,114.13191413360808,3813,143,3624,46,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,11.016704539329718,28.776577159262807,2
Chhattisgarh,CT_Gaurela Pendra Marwahi,374099.04,2307.0,162.15823146944084,946,233,704,9,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,6.20132374659092,16.198389513512346,2
Chhattisgarh,CT_Janjgir Champa,1802142.784,3848.0,468.33232432432436,17808,159,17453,196,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,29.873561934739723,78.03230602836497,2
Chhattisgarh,CT_Jashpur,947471.816,5825.0,162.65610575107297,3098,296,2781,21,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,15.70594640335464,41.02527910427918,2
Chhattisgarh,CT_Kabeerdham,650149.704,4237.0,153.445764455983,5365,259,5040,66,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,10.777329977254842,28.151310271971713,2
Chhattisgarh,CT_Kondagaon,643098.512,7769.0,82.77751473806153,4818,132,4661,25,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,10.660444554636884,27.84599552283319,2
Chhattisgarh,CT_Korba,1341698.0559999999,6615.0,202.82661466364326,15360,110,15149,101,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,22.24091250121271,58.095171055799284,2
Chhattisgarh,CT_Koriya,732851.368,6578.0,111.40945089692914,4426,186,4204,36,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,12.148249808660406,31.732270455370262,2
Chhattisgarh,CT_Mahasamund,1147889.8,4779.0,240.1945595312827,7338,530,6701,107,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,19.028213157696165,49.703324817373996,2
Chhattisgarh,CT_Mungeli,780298.184,2750.0,283.7447941818182,3746,36,3687,23,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,12.934760960255261,33.78670504238217,2
Chhattisgarh,CT_Narayanpur,155909.072,6640.0,23.480281927710838,1902,40,1860,2,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,2.584456326064225,6.750821592448463,2
