state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Haryana,Karnal,1675031.176,2471.0,677.8758300283287,10471,251,10075,145,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Kurukshetra,1072224.872,1530.0,700.8005699346405,8374,223,8033,118,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Mahendragarh,1024908.16,1900.0,539.4253473684211,6533,87,6428,18,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Nuh,1211419.472,1765.0,686.3566413597734,1649,13,1606,30,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Palwal,1157028.216,1367.0,846.3995727871251,4315,48,4244,23,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Panchkula,621485.68,816.0,761.6246078431374,9677,327,9212,138,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Panipat,1337525.832,1250.0,1070.0206656,10240,323,9773,144,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Rewari,996495.448,1559.0,639.1888697883259,11191,256,10866,69,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Rohtak,1177255.496,1668.0,705.7886666666667,11895,356,11395,144,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Sirsa,1440166.7680000002,4276.0,336.80233115060804,7828,124,7592,112,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Sonipat,1645848.96,2260.0,728.2517522123894,14229,402,13750,77,0,25353081.0,1696.0,586.0,7.0,3.0
Himachal Pradesh,Bilaspur,424846.27200000006,1167.0,364.0499331619537,2680,324,2333,22,1,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Chamba,576954.5279999999,6528.0,88.38151470588238,2652,228,2373,46,5,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Hamirpur,505173.816,1118.0,451.85493381037566,2601,236,2324,40,1,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Kangra,1676031.976,5739.0,292.0425119358773,7092,978,5938,174,2,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Kinnaur,93739.37599999999,6401.0,14.644489298547102,1264,125,1123,16,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Kullu,486471.088,5503.0,88.40106996183901,4246,312,3851,81,2,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Lahaul and Spiti,35059.136,13835.0,2.5340900614383806,1200,50,1139,11,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Mandi,1111464.0159999998,3950.0,281.38329518987337,9057,1569,7378,110,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Shimla,904483.0079999999,5131.0,176.27811498733192,9593,879,8443,234,37,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Sirmaur,589542.368,2825.0,208.6875638938053,3028,220,2782,26,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Solan,641257.04,1936.0,331.2278099173554,6030,816,5148,66,0,6856509.0,946.0,452.0,14.0,2.0
Himachal Pradesh,Una,579415.384,1540.0,376.2437558441558,2567,229,2306,32,0,6856509.0,946.0,452.0,14.0,2.0
Jharkhand,Bokaro,2292852.816,2861.0,801.4165732261447,6361,102,6200,59,0,32966238.0,842.0,220.0,3.0,4.0
Jharkhand,Chatra,1159042.048,3700.0,313.25460756756763,1386,20,1355,11,0,32966238.0,842.0,220.0,3.0,4.0
Jharkhand,Deoghar,1658969.448,2479.0,669.2091359419121,3565,14,3528,23,0,32966238.0,842.0,220.0,3.0,4.0
Jharkhand,Dhanbad,2983120.144,2075.0,1437.6482621686746,7277,57,7120,100,0,32966238.0,842.0,220.0,3.0,4.0
Jharkhand,Dumka,1469058.7519999999,4404.0,333.573740236149,1356,11,1333,12,0,32966238.0,842.0,220.0,3.0,4.0
