state,District_Key,confirmed,active,recovered,deceased,migrated_other,covid_index,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,cold_chain_points_access,dist_index,district
Assam,AS_Nalbari,0.0024803183598502386,0.0018384989503605284,0.002246934887734666,0.001366120218579235,0.0,0.0018407642597314566,0.016717118570943136,0.021340725258275368,0.9489898982526725,0.046792871973967975,0.07426677674128254,0.04109301024348752,0.9589069897565125,0.9589069897565125,0.08959984783139774,Nalbari
Assam,AS_Sivasagar,0.0013840595067096796,0.0007693009792288737,0.0012835751230658179,0.003005464480874317,0.0,0.002039544480228948,0.009436979203096468,0.03206298718180592,0.923722880264711,0.07007318721161984,0.11133124244889589,0.06261307422829235,0.9373869257717077,0.9373869257717077,0.10358682070765467,Sivasagar
Assam,AS_South Salmara,0.00013343484847295589,0.0005085209862699334,0.00012754340546319964,9.107468123861566e-05,0.0,0.00011023854267359234,0.02141658117069525,0.015285007198664657,0.9632602022457525,0.03364461776944297,0.05333351135789879,0.028938910572524623,0.9710610894274754,0.9710610894274754,0.07689796465441086,South Salmara
Assam,AS_Sonitpur,0.006666509684491992,0.010965798703923436,0.004686541728403102,0.0014571948998178506,0.0,0.0031167938513523862,0.007915338301379192,0.05393190887653993,0.8721887504533941,0.11755527584103975,0.18692722247603316,0.10650498784742919,0.8934950121525708,0.8934950121525708,0.13406917292818366,Sonitpur
Assam,AS_Tinsukia,0.008806699999215089,0.020379956449741176,0.004879213681336872,0.0037340619307832425,0.0,0.005734523799139548,0.007602269457854666,0.036762402567606094,0.9126487045047127,0.08027661932271267,0.12757607228564619,0.07204501317129258,0.9279549868287074,0.9279549868287074,0.10829076400948764,Tinsukia
Assam,AS_Udalguri,0.0019832081400490307,0.0015646799577536412,0.0018073171923083185,0.0007285974499089253,0.0,0.0012020650537630426,0.010879082143805549,0.023112573586044897,0.9448145363850947,0.050639932222818776,0.08039166084242393,0.044649189868356684,0.9553508101316434,0.9553508101316434,0.08811844305257069,Udalguri
Assam,AS_West Karbi Anglong,0.00010203841353814274,0.00048244298697403936,0.00010040651068379548,9.107468123861566e-05,0.0,9.640080905822521e-05,0.002151249912243693,0.008101931258717028,0.9801871259002894,0.018048629399583137,0.028503221466630507,0.014522152715103608,0.9854778472848964,0.9854778472848964,0.038517472321304626,West Karbi Anglong
Bihar,BR_Araria,0.018591922220565188,0.001290860965146754,0.019052813824619676,0.0020036429872495446,0.0,0.006103406800855111,0.021737404241443086,0.06302951522186452,0.8479086555129196,0.18937992586010213,0.29305563518058503,0.038343656751564155,0.9616563432484359,0.9616563432484359,0.1572481164842658,Araria
Bihar,BR_Arwal,0.005863284224076355,0.0009388079746521848,0.005953834714601277,0.0010018214936247723,0.0,0.0024236262415873325,0.024074599864268513,0.015467957154952378,0.9621194017049404,0.047046674075791314,0.07261711812605819,0.007722712909590581,0.9922772870904094,0.9922772870904094,0.07131325664030166,Arwal
Bihar,BR_Aurangabad,0.012971960367233634,0.0009257689750042377,0.013318787957731571,0.001366120218579235,0.0,0.004209662377470002,0.016656583121289127,0.056366220358930505,0.8639093903358308,0.16943927496500688,0.26217256704779235,0.03405371365269921,0.9659462863473007,0.9659462863473007,0.14236355699384792,Aurangabad
Bihar,BR_Banka,0.008835480064572,0.0016037969566974823,0.008876478282343107,0.0017304189435336976,0.0,0.003910125583526663,0.014729094245578153,0.04547965571517782,0.8900515673789259,0.1368600195855789,0.21171546968965088,0.02704475729934802,0.972955242700652,0.972955242700652,0.12414944675540451,Banka
Bihar,BR_Begusarai,0.019659401008348835,0.0015255629588098003,0.020084015826237034,0.0029143897996357013,0.0,0.007569356496141509,0.03378316045842533,0.0663767163730708,0.8398709385694116,0.19939679754368161,0.3085692576951601,0.040498642051555414,0.9595013579484446,0.9595013579484446,0.1722710147774171,Begusarai
Bihar,BR_Bhagalpur,0.02425374598714316,0.002542604931349667,0.024520898122669617,0.006830601092896175,0.0,0.012871195121145755,0.0258690426239052,0.06813560826149245,0.835647267957841,0.2046604771242348,0.3167213775016102,0.04163104670624923,0.9583689532937507,0.9583689532937507,0.1682031524649034,Bhagalpur
Bihar,BR_Bhojpur,0.012778349018468952,0.0009648859739480787,0.013036564252025769,0.003825136612021858,0.0,0.006991346842471711,0.024106213748738503,0.06108569559228747,0.8525763976849562,0.18356282944852864,0.28404641147175236,0.03709219245696584,0.9629078075430342,0.9629078075430342,0.15687329317701468,Bhojpur
Bihar,BR_Buxar,0.010277099701995505,0.001147431969019337,0.010472127695372074,0.0015482695810564663,0.0,0.003988949843014338,0.02304383077514652,0.03821230723988674,0.9075028310871656,0.11511167107936085,0.1780327312360902,0.022365914162441762,0.9776340858375583,0.9776340858375583,0.11998892467542427,Buxar
Bihar,BR_Darbhanga,0.010423616398357965,0.000990963973243973,0.010615953237702916,0.0029143897996357013,0.0,0.005511667742769867,0.03774281981709123,0.08823560008342325,0.7873806602658345,0.26481193794956354,0.4098809073849887,0.05457176492110629,0.9454282350788937,0.9454282350788937,0.20396266514612857,Darbhanga
Bihar,BR_East Champaran,0.021551036213171327,0.0015646799577536412,0.02198902583975121,0.004553734061930784,0.0,0.009906446773380559,0.02806956875093334,0.11446111436684604,0.7244046839244928,0.34329470595358896,0.5314310355262252,0.07145619917302443,0.9285438008269755,0.9285438008269755,0.22385969002063838,East Champaran
Bihar,BR_Gaya,0.020041390966722392,0.0031945549137470178,0.02005959262093557,0.005373406193078324,0.0,0.010377404990578815,0.019276642259832923,0.0985688724920943,0.762567117556838,0.29573540478448285,0.45777360347545953,0.06122450227854488,0.9387754977214551,0.9387754977214551,0.1964064567883608,Gaya
Bihar,BR_Gopalganj,0.014847897354588718,0.001290860965146754,0.01518852000803252,0.001366120218579235,0.0,0.004503777612126601,0.027578598671858356,0.05742333112360513,0.8613709241007412,0.1726027964884326,0.2670720686368575,0.03473429962749651,0.9652657003725035,0.9652657003725035,0.15457285012787178,Gopalganj
Bihar,BR_Jamui,0.008157840343895616,0.0008084179781727146,0.008363590971012368,0.0009107468123861566,0.0,0.002725752572989361,0.01240960075300783,0.03930648939757824,0.9048753443987747,0.11838613286905875,0.18310405147942,0.023070367333560004,0.97692963266644,0.97692963266644,0.11160286487371997,Jamui
Bihar,BR_Jehanabad,0.01136812581598026,0.0017602649524728464,0.011473479112732088,0.001639344262295082,0.0,0.004316974846982066,0.01569591648022553,0.025031359970313444,0.9391545658990856,0.07566622053637147,0.11694161926303591,0.013879795066894168,0.9861202049331058,0.9861202049331058,0.08913073031512721,Jehanabad
Bihar,BR_Kaimur,0.005175179025088367,0.0007171449806370855,0.005288980792505875,0.0009107468123861566,0.0,0.0021710084754848215,0.010591440873026783,0.036388263677205115,0.9118829520261713,0.10965301786813793,0.16957864616522877,0.021191563746511127,0.9788084362534889,0.9788084362534889,0.10444137058094675,Kaimur
Bihar,BR_Katihar,0.018563142155208275,0.0018515379500084754,0.0189334114875903,0.001092896174863388,0.0,0.0045041744032477725,0.02200136768801587,0.06894713516663853,0.8336985283210687,0.2070890616369078,0.3204826459459404,0.04215352159560778,0.9578464784043922,0.9578464784043922,0.16541729409666303,Katihar
Bihar,BR_Khagaria,0.007906668864417111,0.0008214569778206616,0.008094935712696268,0.001092896174863388,0.0,0.002939586392306392,0.02444696359432008,0.037081776592637575,0.9102176023028945,0.11172843239238565,0.17279294285460584,0.02163805921260298,0.978361940787397,0.978361940787397,0.11896514822002215,Khagaria
Bihar,BR_Kishanganj,0.011064626944943734,0.0017211479535290052,0.011180400649114523,0.0011839708561020036,0.0,0.0036194192678459247,0.01966668808284477,0.037835154950784655,0.9084084962107887,0.1139830009115275,0.1762847041593401,0.02212309707372866,0.9778769029262714,0.9778769029262714,0.11664614622499372,Kishanganj
Bihar,BR_Lakhisarai,0.009497421567780977,0.001538601958457747,0.00960374706243114,0.000819672131147541,0.0,0.00279012038752267,0.0178401351593769,0.022242330652538396,0.9458519310082433,0.06731974013801659,0.10401501399987398,0.012084170331618292,0.9879158296683818,0.9879158296683818,0.08473881856161093,Lakhisarai
