First principal component,Second principal component,Category,district
-0.5416574561616291,0.3082722878598586,high,Kannur
-0.5431991960861273,0.31168558116010114,high,Kasaragod
-0.4943585927044897,0.20895255592878803,high,Kollam
-0.501566059338677,0.2242069071989248,high,Kottayam
-0.5235736800486984,0.26994478737634053,high,Kozhikode
-0.5345431095320922,0.2930826261375602,high,Malappuram
-0.5354494416839013,0.2954689424824733,high,Palakkad
-0.5204975322335944,0.26429442516570933,high,Pathanamthitta
-0.534040433165074,0.29214785637926677,high,Thrissur
-0.5305962456288486,0.2844851242606529,high,Thiruvananthapuram
-0.5405135152665855,0.30630647251612864,high,Wayanad
-0.18875508776149272,0.7675909964666008,low,Lakshadweep
0.12478774408363645,-0.2619194096908719,low,Alirajpur
0.12480674889469126,-0.26193261214547336,medium,Anuppur
0.1248193779973866,-0.2619413854584262,low,Ashok Nagar
0.12481705260944802,-0.2619397700343843,low,Balaghat
0.12477062563270572,-0.2619075176720242,low,Barwani
0.124835079599739,-0.2619522932065554,medium,Betul
0.12468733129341696,-0.26184965391690185,low,Bhind
0.12437749355220706,-0.261634412697173,high,Bhopal
0.12479306408510696,-0.26192310544336805,low,Burhanpur
0.12480484746949595,-0.26193129124416337,low,Chhatarpur
0.12482191252577571,-0.2619431461702742,low,Chhindwara
0.12482450523553693,-0.261944947300147,medium,Damoh
0.12474647757469634,-0.2618907422545437,medium,Datia
0.1247919002403151,-0.26192229693188196,low,Dewas
0.12476218363023375,-0.26190165309625646,low,Dhar
0.12487577704888825,-0.26198056532266534,low,Dindori
0.12481244177445422,-0.2619365669328378,low,Guna
0.12469421757463053,-0.26185443774847134,medium,Gwalior
0.12482592734260402,-0.26194593522388576,medium,Harda
0.12481643050115776,-0.26193933786189727,medium,Hoshangabad
0.12438721554764527,-0.2616411664714168,high,Indore
0.1246281166865242,-0.2618085181141311,medium,Jabalpur
0.12483891693366267,-0.26195495896454535,medium,Jhabua
0.12476668088087825,-0.261904777291877,low,Katni
0.12481891714988741,-0.26194106531221856,low,Mandla
0.1247790283884784,-0.2619133549834974,low,Mandsaur
0.12467966446191928,-0.2618443278447566,low,Morena
0.12479839293780513,-0.2619268073447246,medium,Narsinghpur
0.12481098944760326,-0.26193555801571355,medium,Neemuch
0.12471099027691072,-0.26186608957914514,low,Niwari
0.12484455968996926,-0.2619588789316395,low,Panna
0.12483478474258312,-0.26195208837220035,low,Raisen
0.12477281379666448,-0.2619090377679222,low,Rajgarh
0.12474167765263645,-0.2618874077960792,medium,Ratlam
0.12469237303960708,-0.261853156368202,low,Rewa
0.1247857864646397,-0.26191804975228283,medium,Sagar
0.12474308479737979,-0.2618883853256394,low,Satna
0.12480722807751744,-0.2619329450290517,medium,Sehore
0.12483469144041456,-0.26195202355610503,low,Seoni
0.12482538032925132,-0.2619455552191104,medium,Shahdol
0.12477784672343965,-0.2619125340924618,low,Shajapur
0.1248694433211736,-0.26197616534455614,medium,Sheopur
0.12482794954000849,-0.2619473400244571,medium,Shivpuri
0.12486773057859687,-0.26197497551919835,low,Sidhi
0.12480171163339016,-0.2619291128097814,low,Singrauli
0.12475045267419581,-0.261893503716919,low,Tikamgarh
0.12472397546747536,-0.26187511026282506,medium,Ujjain
0.1248340372902592,-0.26195156912445067,low,Umaria
0.12480803446652923,-0.2619335052195365,medium,Vidisha
-0.2916798200388703,0.122623563034798,high,Ahmednagar
-0.2729182897213039,0.08323966794777193,medium,Akola
-0.27703258471720377,0.09195348255166702,medium,Amravati
-0.24869898270396246,0.03245195843418194,high,Aurangabad
-0.30670882139434696,0.1541444180615145,medium,Beed
-0.30236416998502913,0.14497779440699782,high,Bhandara
-0.2966957949435156,0.13313489666713268,medium,Buldhana
-0.29016806496187386,0.11952388263664343,high,Chandrapur
-0.2874918164678425,0.11385854381150098,medium,Dhule
-0.29134481429241005,0.12209805512573563,medium,Gadchiroli
-0.3035754870312132,0.14757598074685666,high,Gondia
-0.2956461386752942,0.13094179719819032,medium,Hingoli
-0.2812925224893243,0.10076847375424247,high,Jalgaon
-0.2722381165757806,0.08188881020533725,medium,Jalna
-0.2546406983504771,0.04477752591817005,high,Kolhapur
-0.27919243618144207,0.0963817372849784,high,Latur
-0.30741755172110347,0.11393996730617575,low,Mumbai City
-0.2943065732661438,0.10512468274538905,low,Mumbai suburban
-0.289206626757576,0.1173920673857143,medium,Nanded
-0.28900214730343476,0.1169572348032139,medium,Nandurbar
-0.2857537384424956,0.11001607364650919,high,Nagpur
-0.2921808371413997,0.1235571801184333,high,Nashik
-0.3066940726851825,0.15413417227887488,high,Osmanabad
-0.28716150412397556,0.11288457444496586,high,Palghar
-0.306735159346305,0.1541627147766999,medium,Parbhani
-0.29398996317886705,0.12715622391139914,high,Pune
-0.2938363445327631,0.1270495065546582,high,Raigad
-0.27742455560850376,0.09281134630899618,medium,Ratnagiri
-0.2963179990054225,0.13228688010984424,high,Sangli
-0.2576325244802692,0.051247658860264375,high,Satara
-0.2995524488134682,0.1392183440503243,medium,Sindhudurg
-0.2875158536182081,0.11387524218253636,high,Solapur
-0.30409289300723197,0.14647150394707062,high,Thane
-0.2872515960282157,0.1133988823192616,medium,Wardha
-0.28392574158041894,0.10640392047800268,medium,Washim
-0.2876687974693959,0.1142742734904863,medium,Yavatmal
0.24958100604821903,-0.010009043835434508,medium,Bishnupur
0.23837761335361576,0.013876892307796637,medium,Chandel
0.2433822485548426,0.003373436255467606,medium,Churachandpur
0.2378385615496058,0.014460496791430119,high,Imphal East
0.2376062244577264,0.014621899075248433,high,Imphal West
0.2381329297322312,0.014256002121315892,medium,Jiribam
0.2382418794749616,0.014180315810723591,medium,Kamjong
0.23824327669572548,0.01417934517525394,low,Pherzawl
0.2487829371561991,-0.007990719632767096,low,Senapati
0.21456363585637456,0.06379745795652239,high,Tamenglong
0.25270556123935495,-0.016864165070558775,medium,Thoubal
0.21936425122646963,0.05372851519112704,medium,Ukhrul
0.5863763812128773,0.14399601238574214,low,East Garo Hills
0.5745581780292361,0.16860183403013637,high,East Khasi Hills
0.5753435358882808,0.16717790550572798,medium,East Jaintia Hills
0.5753117671090541,0.16719997496299735,low,North Garo Hills
0.5765639947256392,0.16457336845379902,medium,Ri Bhoi
0.5625843479816268,0.19390133356954412,low,South Garo Hills
0.575243839519637,0.16724716358870273,low,South West Garo Hills
0.5753276245211753,0.1671889589753601,low,South West Khasi Hills
0.5752767481626565,0.16722430227931068,low,West Jaintia Hills
0.5788202765185007,0.1597853417986942,medium,West Garo Hills
0.5728257717832271,0.17244036406602076,low,West Khasi Hills
0.28070592860372606,0.5048743040596178,medium,Aizawl
0.2820078392813084,0.5022131832184754,low,Champhai
0.29223356523113386,0.48076311885759204,medium,Kolasib
0.30477993635933015,0.45448031523316296,medium,Lawngtlai
0.28201169045660407,0.502210507845021,medium,Lunglei
0.28013419300860365,0.5061498313064144,low,Mamit
0.29203776583553254,0.4811919214891247,low,Saiha
0.2955863619560523,0.4737494404824232,medium,Serchhip
0.3406533508918967,0.2551219577495379,high,Dimapur
0.32939087567691566,0.279048937936342,low,Kiphire
0.3449314308173438,0.24629436337216756,high,Kohima
0.34736269655184626,0.24138477710045597,low,Longleng
0.34982925803546905,0.2361578884957375,low,Mokokchung
0.33581199729972044,0.26551198368017126,medium,Mon
0.3310546842231594,0.27555084476978065,medium,Peren
0.34191434382902863,0.2527820447832724,low,Phek
0.337514680872231,0.2619868844166832,low,Tuensang
0.3410643865268194,0.2545436326276188,low,Wokha
0.3347888396033649,0.26768667485286407,low,Zunheboto
-0.19833260665513555,0.38985878594609813,low,Central Delhi
-0.18559953462999912,0.3810132465263894,low,East Delhi
-0.18728555150071835,0.382184505800098,low,New Delhi
-0.19292501488193292,0.38610218533148377,low,North Delhi
-0.21133298445301735,0.39889002004696994,low,North East Delhi
-0.20150435553848933,0.39206216858005616,low,North West Delhi
-0.1875942318642482,0.37871964009548925,low,South Delhi
-0.21676153648311874,0.4445583894317648,low,South West Delhi
-0.22785090663361363,0.45226206538775565,low,West Delhi
-0.10218543467074995,-0.07134821056957097,medium,Angul
-0.1021447186931814,-0.07137649555719089,medium,Boudh (Bauda)
-0.1024461237176343,-0.07116711246253524,medium,Bhadrak
-0.10221605604303255,-0.07132693820457714,medium,Balangir
-0.10221777580757199,-0.07132574350113116,medium,Bargarh (Baragarh)
-0.10246993845255833,-0.07115056860131112,medium,Balasore
-0.10248850163026119,-0.0711376729450389,high,Cuttack
-0.10212519945412638,-0.07139005537984508,medium,Debagarh (Deogarh)
-0.10222735635063424,-0.07131908799245644,medium,Dhenkanal
-0.10233771614246912,-0.07124242213467293,medium,Ganjam
-0.10214969102614757,-0.07137304132657211,medium,Gajapati
-0.10223425409485558,-0.07131429619764867,high,Jharsuguda
-0.10246643629052399,-0.07115300151869883,medium,Jajpur
-0.10247548894286487,-0.07114671273049626,medium,Jagatsinghpur
-0.10256195236156246,-0.07108664744719759,high,Khordha
-0.10219509436825756,-0.07134150007308454,medium,Kendujhar (Keonjhar)
-0.10218186414515157,-0.07135069097845165,medium,Kalahandi
-0.10211142554931907,-0.07139962397552221,medium,Kandhamal
-0.10215413015847988,-0.0713699575051693,medium,Koraput
-0.10240884688155018,-0.07119300831252126,medium,Kendrapara
-0.10212097297180098,-0.07139299147538762,high,Malkangiri
-0.10220986881676102,-0.07133123640958026,medium,Mayurbhanj
-0.10220259469413498,-0.07133628967074972,medium,Nabarangpur
-0.10216831142046179,-0.0713601059224849,high,Nuapada
-0.10221384004989549,-0.07132847763313052,medium,Nayagarh
-0.10241668380348967,-0.07118756408022538,medium,Puri
-0.1021347650733751,-0.07138341023859625,high,Rayagada
-0.10215379566759195,-0.07137018987268665,high,Sambalpur
-0.1022388725665091,-0.07131108779099006,medium,Subarnapur (Sonepur)
-0.10219211105432938,-0.0713435725518156,medium,Sundargarh
-0.3567295859936197,0.3970312190538598,high,Karaikal
