state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,temp,covid_index,dist_index
Uttar Pradesh,UP_Gautam Buddh Nagar,0.06402256357123981,677,23706,0.007923497267759563,0,1467.5192813238766,41.47008791620008,56.240915433599994,14.3395711536,2104.8655213127013,0.12204864152518526,0.12204864152518526,0.12376101214602023,0.022522935144684883,0.2408859926386721
Uttar Pradesh,UP_Ghaziabad,0.06639822714797401,932,24348,0.008925318761384336,0,4411.51882893617,115.42915641545164,156.5427456448,39.9132166048,5858.749370969693,0.3397140551370907,0.3397140551370907,0.13442104021081036,0.02434389743830004,0.4237301524710663
Uttar Pradesh,UP_Ghazipur,0.0131341752810635,101,4841,0.007103825136612021,0,1192.9145466390287,89.70773946261377,121.6598672048,31.0192376648,4553.227091568232,0.2640145773944744,0.2640145773944744,0.5408657174580367,0.009659341825936545,0.31912441108623096
Uttar Pradesh,UP_Gonda,0.013019055019635854,88,4822,0.006010928961748634,0,862.3053631638417,84.96965995054565,115.23417720639999,29.380899486399997,4312.740015139962,0.2500701611430604,0.2500701611430604,0.4617024010331559,0.008846276893254477,0.2982609268649914
Uttar Pradesh,UP_Gorakhpur,0.054048962740280836,339,19986,0.030327868852459017,0,1483.6504661654135,109.85321330713215,148.98076156,37.98516106,5575.735493082106,0.3233037624228024,0.3233037624228024,0.5611184251248673,0.04048690965730382,0.3559056965742424
Uttar Pradesh,UP_Hamirpur,0.0040396746282792915,37,1486,0.001912568306010929,0,283.85464786127164,27.33830847018125,37.0756748304,9.4530694104,1387.5896049744433,0.08045807419372891,0.08045807419372891,0.47344612673065495,0.002779595952767858,0.1600673693373692
Uttar Pradesh,UP_Hapur,0.011041079618742624,230,3924,0.006010928961748634,0,2254.682775757576,33.137435896771635,44.94033708640001,11.4582978664,1681.9314785338822,0.09752521005022924,0.09752521005022924,0.5444149638722711,0.008146603295194422,0.2333616899742777
Uttar Pradesh,UP_Hardoi,0.0150441250729313,120,5526,0.00947176684881603,0,760.042525893752,101.31275447544037,137.39835971199994,35.032032111999996,5142.253958937682,0.2981687446115052,0.2981687446115052,0.6295990496555002,0.011937103716364063,0.3136117860944801
Uttar Pradesh,UP_Hathras,0.003335871211823897,9,1259,0.0006375227686703097,0,993.7408310502284,38.77008510614965,52.579224867200004,13.4059613072,1967.8235446039316,0.11410239179099772,0.11410239179099772,0.19111132540447875,0.001458318844042534,0.22156918514688131
Uttar Pradesh,UP_Jalaun,0.009942204396024164,101,3654,0.004098360655737705,0,406.97446133625397,41.37113700797745,56.106720163199995,14.3053558032,2099.8431457768397,0.12175742381784255,0.12175742381784255,0.4122185073339086,0.006383317266748371,0.2003098815611417
Uttar Pradesh,UP_Jaunpur,0.016933143908175893,197,6179,0.008743169398907104,0,1232.637955423477,110.83868610356244,150.31724033279994,38.325918892799976,5625.754381770968,0.32620406049565404,0.32620406049565404,0.5163346775010639,0.012167552985101552,0.3477735522469001
Uttar Pradesh,UP_Jhansi,0.026019795452226397,253,9515,0.01612021857923497,0,442.84226910828033,49.54367477000664,67.190154712,17.131264612,2514.6503917050877,0.14580963064423058,0.14580963064423058,0.6195367142233101,0.020480351317222895,0.21834645714587644
Uttar Pradesh,UP_Kannauj,0.00893228573895434,48,3320,0.00418943533697632,0,925.0885900652285,41.05633147838933,55.679787112,14.196502012,2083.8648023865962,0.12083093465031328,0.12083093465031328,0.4690216434418227,0.006117289719699808,0.22457416273326086
Uttar Pradesh,UP_Kanpur Dehat,0.005421117765411071,59,1979,0.0030965391621129326,0,660.7554796425026,44.450946882672156,60.2834975808,15.3702957408,2256.1626990544423,0.13082146564292638,0.13082146564292638,0.5711993902567672,0.004097157973891357,0.22114914070362932
Uttar Pradesh,UP_Kanpur Nagar,0.08312206148991781,647,30316,0.07349726775956285,0,1611.2552319391634,113.2376513282119,153.5706696624,39.1554356424,5747.516824097989,0.33326434084341405,0.33326434084341405,0.8842089144826805,0.07816165562506552,0.3642846258934208
Uttar Pradesh,UP_Kasganj,0.0050417441766154114,70,1851,0.000546448087431694,0,818.02019028133,35.61232291436664,48.296730054399994,12.314066934399994,1807.5474252134925,0.1048089322124818,0.1048089322124818,0.10838473121389743,0.0016598347696778052,0.20802124978121828
