District,Active,Cluster,Cold Chain Points,Density,Elderlies,Full Immunes,Hh More Than 4,Index,Storage Cap Lits,Urbans
Bangalore Rural,0.007080177,0,0.899257985,0.011582502,0.069115602,0.900916858,0.084393588,0.112945886,0.899257985,0.075993773
Bangalore Urban,0.185336341,8,-2.220446049e-16,0.115218805,0.674207792,0.036430465,0.826341557,4.466533303e-05,-2.220446049e-16,0.741279736
Bidar,0.001838499,3,0.824742537,0.008190070,0.119255513,0.829282699,0.145873814,0.108618182,0.824742537,0.131121536
Bijapur,0.002855541,9,0.775074982,0.005420511,0.152675789,0.781535637,0.186852869,0.116869135,0.775074982,0.167866417
Chamarajanagara,0.002699073,0,0.895734303,0.005243969,0.071486615,0.897529426,0.087300861,0.091699909,0.895734303,0.078600651
Chikkaballapura,0.005222119,3,0.871331981,0.007822880,0.087906435,0.874070669,0.107434408,0.111992475,0.871331981,0.096653893
Chikmagalur,0.003833466,0,0.883524412,0.004135615,0.079702399,0.885791656,0.097374837,0.096396490,0.883524412,0.087633730
Chitradurga,0.006180486,3,0.828886693,0.005156772,0.116466996,0.833266612,0.142454609,0.118455877,0.828886693,0.128055621
Dakshina Kannada,0.007901634,9,0.784638425,0.012006225,0.146240745,0.790729291,0.178962389,0.144901491,0.784638425,0.160791223
Davanagere,0.003637881,9,0.798931789,0.008624130,0.136623035,0.804469973,0.167169408,0.123825906,0.798931789,0.150216756
Dharwad,0.002757748,9,0.809377067,0.011375142,0.129594622,0.814511365,0.158551355,0.121977899,0.809377067,0.142489165
Gadag,0.001251744,0,0.891105791,0.006005230,0.074601045,0.893079886,0.091119692,0.085928476,0.891105791,0.082024900
Gulbarga,0.005104768,9,0.734324469,0.006119738,0.180095970,0.742360824,0.220474767,0.133070696,0.734324469,0.198014321
Hassan,0.006082693,9,0.816775911,0.006837960,0.124616092,0.821624117,0.152446814,0.124931055,0.816775911,0.137015378
Haveri,0.001779823,3,0.835355088,0.008696785,0.112114546,0.839484894,0.137117751,0.107001057,0.835355088,0.123270195
Kodagu,0.003540088,6,0.944473083,0.003536640,0.038691294,0.944383625,0.047088108,0.073124095,0.944473083,0.042542894
Kolar,0.002816424,3,0.841447435,0.010081462,0.108015131,0.845341668,0.132091156,0.114134884,0.841447435,0.118762975
Koppal,0.002405695,3,0.857018232,0.006557264,0.097537863,0.860310389,0.119244209,0.102759619,0.857018232,0.107243442
Mandya,0.004791832,9,0.813382492,0.009572795,0.126899454,0.818361911,0.155246612,0.127138333,0.813382492,0.139525886
Mysore,0.008234128,9,0.689385683,0.011477148,0.210334354,0.699159685,0.257552270,0.158253659,0.689385683,0.231260780
Raichur,0.003090243,9,0.801245574,0.007384583,0.135066136,0.806694291,0.165260381,0.118611524,0.801245574,0.148504979
Ramanagara,0.001740706,0,0.889275839,0.007952905,0.075832382,0.891320692,0.092629525,0.093245357,0.889275839,0.083378729
Shimoga,0.004224636,9,0.818940929,0.005416160,0.123159296,0.823705421,0.150660529,0.115540934,0.818940929,0.135413662
Tumakuru,0.008683974,9,0.722139042,0.006636410,0.188295293,0.730646571,0.230528559,0.145177594,0.722139042,0.207029302
Udupi,0.002855541,3,0.879326416,0.007969466,0.082527144,0.881755984,0.100838464,0.101999537,0.879326416,0.090739477
Uttara Kannada,0.002816424,3,0.860990202,0.003438238,0.094865206,0.864128775,0.115967068,0.095839470,0.860990202,0.104304913
Yadgir,0.001603797,3,0.879841090,0.005885769,0.082180831,0.882250757,0.100413824,0.091250636,0.879841090,0.090358713
Alappuzha,0.071349406,9,0.825425135,0.039446608,0.243926441,0.778814946,0.167596266,0.243446848,0.825425135,0.202078610
Ernakulam,0.156956958,2,0.728813725,0.028160455,0.377216229,0.658041523,0.259468127,0.287946919,0.728813725,0.312549266
Idukki,0.063252187,0,0.910069638,0.006668563,0.127146778,0.884628601,0.087104241,0.156528898,0.910069638,0.105291556
Kannur,0.067848435,9,0.791742715,0.022427126,0.290396342,0.736708727,0.199626298,0.236542203,0.791742715,0.240592892
Kasaragod,0.032721370,3,0.893787446,0.017214054,0.149610480,0.864274318,0.102587663,0.171247625,0.893787446,0.123909486
Kollam,0.056054659,9,0.783059914,0.027852067,0.302375555,0.725854403,0.207883140,0.239822485,0.783059914,0.250521271
Kottayam,0.117722608,9,0.837319619,0.023593238,0.227516233,0.793684180,0.156285299,0.238181791,0.837319619,0.188477820
Kozhikode,0.105126935,2,0.744692923,0.034653645,0.355308517,0.677892026,0.244367928,0.277344298,0.744692923,0.294392141
Malappuram,0.106926317,2,0.659470795,0.030421667,0.472885099,0.571356286,0.325409240,0.289056314,0.659470795,0.391839682
Palakkad,0.100530687,2,0.767942315,0.016483658,0.323232528,0.706955971,0.222259101,0.245725316,0.767942315,0.267807542
Pathanamthitta,0.080307199,3,0.902720303,0.011842259,0.137286276,0.875441236,0.094093033,0.177748579,0.902720303,0.113695178
Thrissur,0.119306847,2,0.742958799,0.027021540,0.357700999,0.675724207,0.246016979,0.273558464,0.742958799,0.296375031
Thiruvananthapuram,0.064777750,2,0.726525589,0.039742941,0.380373053,0.655181136,0.261644011,0.269619352,0.726525589,0.315165643
